Model,Metric,Value
UNSW-NB15,Accuracy,0.9843129860513886
UNSW-NB15,F1 Score,0.6035104033476694
UNSW-NB15,Precision,0.6305562302647559
UNSW-NB15,Recall,0.5786892554614356
UNSW-NB15,ROC-AUC,0.9563453393171536
UNSW-NB15,MCC,0.5960945308619136
BoT-IoT,Accuracy,0.9998623424945994
BoT-IoT,F1 Score,0.9999311665095764
BoT-IoT,Precision,0.9998623424945994
BoT-IoT,Recall,1.0
BoT-IoT,ROC-AUC,0.8620099745183161
BoT-IoT,MCC,0.0
Logistic Regression,Accuracy,0.9998623424945994
Random Forest,Accuracy,0.9999795558160296
Support Vector Machine,Accuracy,0.9999345786112948
Logistic Regression,F1 Score,0.9999311665095764
Random Forest,F1 Score,0.9999897764937054
Support Vector Machine,F1 Score,0.9999672857832193
Logistic Regression,Precision,0.9998623424945994
Random Forest,Precision,0.9999904580542882
Support Vector Machine,Precision,0.9999372996314309
Logistic Regression,Recall,1.0
Random Forest,Recall,0.9999890949340516
Support Vector Machine,Recall,0.9999972737335128
Logistic Regression,ROC-AUC,0.8362100798331805
Random Forest,ROC-AUC,0.9999785542700594
Support Vector Machine,ROC-AUC,0.94198019721002
Logistic Regression,MCC,0.0
Random Forest,MCC,0.926109391040812
Support Vector Machine,MCC,0.7248520589528072
